MMSI,BaseDateTime,LAT,LON,SOG,COG,x,y,vx,vy
368121820,2022-03-31T19:36:25,29.9414687096774,-89.9984648387097,1.13225806451613,312.851612903226,210568.678581812,3316081.80718368,0.770050955442695,-0.830078219617649
368121820,2022-03-31T19:36:35,29.9414429032258,-89.9984616129032,1.77741935483871,283.383870967742,210568.915288788,3316078.93752153,0.411426462506862,-1.72914656085144
368121820,2022-03-31T19:36:45,29.9414170967742,-89.9984583870968,2.42258064516129,253.916129032258,210569.151995982,3316076.0678594,-0.671161864575215,-2.32775401059691
368121820,2022-03-31T19:36:55,29.9413912903226,-89.9984551612903,3.06774193548387,224.448387096774,210569.388703396,3316073.19819731,-2.19000436583674,-2.14823682594409
368121820,2022-03-31T19:37:05,29.941365483871,-89.9984519354839,3.71290322580645,194.98064516129,210569.625411032,3316070.32853523,-3.58671353281556,-0.959758510106422
368121820,2022-03-31T19:37:15,29.941234516129,-89.9983306451613,4.68709677419355,174.545161290323,210580.958899398,3316055.50011124,-4.6658709566545,0.445560755120588
368121820,2022-03-31T19:37:25,29.9409458064516,-89.9980322580645,6.15483870967742,167.658064516129,210608.937677947,3316022.73360386,-6.01259665232067,1.31556871300815
368121820,2022-03-31T19:37:35,29.9406570967742,-89.9977338709677,7.62258064516129,160.770967741935,210636.91662699,3315989.96718152,-7.19731389424204,2.51045979847078
368121820,2022-03-31T19:37:45,29.9403683870968,-89.997435483871,9.09032258064516,153.883870967742,210664.895746529,3315957.20084422,-8.16223423597783,4.00148683581725
368121820,2022-03-31T19:37:55,29.9400796774194,-89.9971370967742,10.558064516129,146.996774193548,210692.87503656,3315924.43459196,-8.8544142008784,5.75083259067982
368121820,2022-03-31T19:38:05,29.9397909677419,-89.9968387096774,12.0258064516129,140.109677419355,210720.854497081,3315891.66842474,-9.22708240839248,7.71239074738751
368121820,2022-03-31T19:38:15,29.9394706451613,-89.9964964516129,13.2161290322581,134.522580645161,210752.979293007,3315855.28629946,-9.26702156783989,9.42275850579255
368121820,2022-03-31T19:38:25,29.9390238709677,-89.9959787096774,13.2967741935484,134.135483870968,210801.685089411,3315804.44018737,-9.25930718794068,9.5430306692143
368121820,2022-03-31T19:38:35,29.9385770967742,-89.9954609677419,13.3774193548387,133.748387096774,210850.391340152,3315753.5943278,-9.25038810457784,9.66362605391464
368121820,2022-03-31T19:38:45,29.9381303225806,-89.9949432258065,13.458064516129,133.361290322581,210899.098045225,3315702.74872072,-9.24025961613086,9.78453385434337
368121820,2022-03-31T19:38:55,29.9376835483871,-89.994425483871,13.5387096774194,132.974193548387,210947.805204621,3315651.90336615,-9.2289171121122,9.90574321629691
368121820,2022-03-31T19:39:05,29.9372367741936,-89.9939077419355,13.6193548387097,132.587096774194,210996.512818331,3315601.05826407,-9.21635607361035,10.0272432376557
368121820,2022-03-31T19:39:15,29.93679,-89.99339,13.7,132.2,211045.220886348,3315550.21341448,-9.20257207372496,10.1490229691285
368121820,2022-03-31T19:39:25,29.9363853125,-89.9928290625,13.825,131.090625,211098.222812648,3315503.92669267,-9.08650800791359,10.4195008144403
368121820,2022-03-31T19:39:35,29.935980625,-89.992268125,13.95,129.98125,211151.225179657,3315457.6402618,-8.9633895850122,10.689253816207
368121820,2022-03-31T19:39:45,29.9355759375,-89.9917071875,14.075,128.871875,211204.227987366,3315411.35412189,-8.83320205135911,10.9581096234645
368121820,2022-03-31T19:39:55,29.93517125,-89.99114625,14.2,127.7625,211257.231235767,3315365.06827292,-8.69593469379522,11.2258950556848
368121820,2022-03-31T19:40:05,29.9347665625,-89.9905853125,14.325,126.653125,211310.234924856,3315318.78271488,-8.55158086599271,11.4924361948365
368121820,2022-03-31T19:40:15,29.934361875,-89.990024375,14.45,125.54375,211363.239054624,3315272.49744777,-8.40013801272971,11.757558478149
368121820,2022-03-31T19:40:25,29.9339645454545,-89.9894345454546,14.4363636363636,124.963636363636,211419.055219892,3315226.95563073,-8.27285105940461,11.8308296577302
368121820,2022-03-31T19:40:35,29.9335721212121,-89.9888254545455,14.330303030303,124.736363636364,211476.746238333,3315181.90958298,-8.16542379053093,11.7763933044605
368121820,2022-03-31T19:40:45,29.9331796969697,-89.9882163636364,14.2242424242424,124.509090909091,211534.437717378,3315136.86387484,-8.05855950006776,11.7212922208895
368121820,2022-03-31T19:40:55,29.9327872727273,-89.9876072727273,14.1181818181818,124.281818181818,211592.129657023,3315091.81850628,-7.95226176577064,11.6655300205306
368121820,2022-03-31T19:41:05,29.9323948484848,-89.9869981818182,14.0121212121212,124.054545454545,211649.822057259,3315046.77347732,-7.84653414557107,11.6091103348002
368121820,2022-03-31T19:41:15,29.9320024242424,-89.9863890909091,13.9060606060606,123.827272727273,211707.514918083,3315001.72878793,-7.74138017749125,11.5520368129164
368121820,2022-03-31T19:41:25,29.93161,-89.98578,13.8,123.6,211765.208239487,3314956.68443811,-7.63680337955815,11.4943131217994
368121820,2022-03-31T19:41:35,29.9312842424242,-89.98513,13.8454545454545,122.918181818182,211827.04538084,3314918.92982343,-7.52418574389029,11.6225315857469
368121820,2022-03-31T19:41:45,29.9309584848485,-89.98448,13.8909090909091,122.236363636364,211888.882923373,3314881.17558844,-7.40959451987292,11.7496920990709
368121820,2022-03-31T19:41:55,29.9306327272727,-89.98383,13.9363636363636,121.554545454545,211950.720867082,3314843.42173313,-7.29303900310188,11.8757658070624
368121820,2022-03-31T19:42:05,29.930306969697,-89.98318,13.9818181818182,120.872727272727,212012.559211963,3314805.6682575,-7.17452889690904,12.0007239271987
