MMSI,BaseDateTime,LAT,LON,SOG,COG,x,y,vx,vy
368121820,2022-03-31T11:53:25,29.9483,-90.02229,0.053030303030303,360,787407.346461395,3316787.060374,0.053030303030303,-1.2988678172775e-17
368121820,2022-03-31T11:53:35,29.9483,-90.02229,0.0681818181818182,360,787407.346461395,3316787.060374,0.0681818181818182,-1.66997290792821e-17
368121820,2022-03-31T11:53:45,29.9483,-90.02229,0.0833333333333333,360,787407.346461395,3316787.060374,0.0833333333333333,-2.04107799857892e-17
368121820,2022-03-31T11:53:55,29.9483,-90.02229,0.0984848484848485,360,787407.346461395,3316787.060374,0.0984848484848485,-2.41218308922964e-17
368121820,2022-03-31T11:54:05,29.9483395212038,-90.0222092339261,0.1,360,787415.031712275,3316791.64512845,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:54:15,29.9483834336525,-90.022119493844,0.1,360,787423.570872834,3316796.73930693,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:54:25,29.9484273461012,-90.022029753762,0.1,360,787432.110025934,3316801.83349264,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:54:35,29.9484712585499,-90.0219400136799,0.1,360,787440.649171577,3316806.92768557,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:54:45,29.9485151709986,-90.0218502735978,0.1,360,787449.188309761,3316812.02188573,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:54:55,29.9485590834473,-90.0217605335157,0.1,360,787457.727440488,3316817.11609312,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:55:05,29.948602995896,-90.0216707934337,0.1,360,787466.266563754,3316822.21030773,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:55:15,29.9486469083447,-90.0215810533516,0.1,360,787474.805679564,3316827.30452958,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:55:25,29.9486908207934,-90.0214913132695,0.1,360,787483.344787913,3316832.39875865,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:55:35,29.9487347332421,-90.0214015731874,0.1,360,787491.883888805,3316837.49299495,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:55:45,29.9487786456908,-90.0213118331053,0.1,360,787500.422982239,3316842.58723847,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:55:55,29.9488225581395,-90.0212220930233,0.1,360,787508.962068214,3316847.68148922,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:56:05,29.9488664705882,-90.0211323529412,0.1,360,787517.50114673,3316852.7757472,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:56:15,29.9489103830369,-90.0210426128591,0.1,360,787526.04021779,3316857.87001241,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:56:25,29.9489542954856,-90.020952872777,0.1,360,787534.57928139,3316862.96428485,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:56:35,29.9489982079343,-90.0208631326949,0.1,360,787543.118337529,3316868.05856451,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:56:45,29.949042120383,-90.0207733926129,0.1,360,787551.657386214,3316873.1528514,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:56:55,29.9490860328317,-90.0206836525308,0.1,360,787560.196427437,3316878.24714551,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:57:05,29.9491299452804,-90.0205939124487,0.1,360,787568.735461203,3316883.34144686,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:57:15,29.9491738577291,-90.0205041723666,0.1,360,787577.27448751,3316888.43575543,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:57:25,29.9492177701778,-90.0204144322845,0.1,360,787585.81350636,3316893.53007123,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:57:35,29.9492616826265,-90.0203246922025,0.1,360,787594.352517748,3316898.62439426,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:57:45,29.9493055950752,-90.0202349521204,0.1,360,787602.891521681,3316903.71872451,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:57:55,29.9493495075239,-90.0201452120383,0.1,360,787611.430518153,3316908.813062,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:58:05,29.9493934199726,-90.0200554719562,0.1,360,787619.969507167,3316913.90740671,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:58:15,29.9494373324213,-90.0199657318742,0.1,360,787628.508488722,3316919.00175865,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:58:25,29.94948124487,-90.0198759917921,0.1,360,787637.04746282,3316924.09611781,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:58:35,29.9495251573187,-90.01978625171,0.1,360,787645.586429459,3316929.19048421,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:58:45,29.9495690697674,-90.0196965116279,0.1,360,787654.12538864,3316934.28485783,0.1,-2.44929359829471e-17
368121820,2022-03-31T11:58:55,29.9496129822161,-90.0196067715458,0.1,360,787662.664340361,3316939.37923868,0.1,-2.44929359829471e-17
